Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Meter_X	Meter_Y	Meter_Z	Top	Height	Distance
1455277528.685566179	0	545	172	62	179	1460.77	-116.455	3294.12	377.091	992.637	0
1455277528.786114208	0	488	172	139	223	1352.35	-238.455	3294.12	377.091	1236.64	108.416
1455277528.820647947	0	488	172	139	223	1352.35	-238.455	3294.12	377.091	1236.64	0
1455277528.854163877	0	530	172	91	158	1455.06	-61	3294.12	377.091	876.182	102.71
1455277528.887680046	0	528	172	62	101	1373.5	100.531	3317.65	379.785	564.092	81.5569
1455277528.920045368	0	489	173	94	219	1267.74	-239.564	3388.24	382.161	1249.15	105.767
1455277528.954197638	0	486	173	93	220	1252.9	-246.971	3411.76	384.815	1263.57	14.8359
1455277528.987156622	0	482	173	85	194	1197.31	-171.117	3388.24	382.161	1106.56	55.594
1455277529.020672552	0	479	173	78	211	1162.09	-216.748	3388.24	382.161	1203.52	35.2148
1455277529.054188482	0	477	174	97	222	1203.18	-256.675	3388.24	376.457	1266.27	41.0841
1455277529.087704412	0	481	174	138	177	1312.41	-122	3294.12	366	981.546	109.231
1455277529.121220581	0	475	174	150	179	1293.66	-125.723	3247.06	360.772	978.456	18.7487
1455277529.154662363	0	480	173	141	180	1293.66	-125.723	3247.06	366.238	983.923	0
1455277529.188178293	0	481	171	142	182	1304.91	-120.257	3247.06	377.17	994.855	11.2491
1455277529.221694462	0	482	169	138	174	1299.28	-87.4598	3247.06	388.103	951.125	5.62463
1455277529.255249493	0	479	167	146	169	1323.82	-61	3294.12	404.818	937.182	24.5364
1455277529.288765423	0	474	163	147	152	1295.29	5.54546	3294.12	427	842.91	28.5306
1455277529.322242252	0	475	162	152	161	1318.11	-11.0909	3294.12	432.546	892.819	22.8246
1455277529.355767481	0	475	157	149	168	1306.7	-5.54546	3294.12	460.273	931.637	11.4124
1455277529.389274351	0	473	153	152	231	1316.04	-156.382	3317.65	485.901	1290.15	9.33362
1455277529.422790281	0	473	149	112	236	1201.1	-150.797	3317.65	508.241	1318.08	114.938
1455277529.456306450	0	473	145	108	241	1189.6	-139.627	3317.65	530.581	1346	11.4937
1455277529.489822380	0	471	142	119	253	1223.96	-158.6	3364.71	555.1	1433.07	34.359
1455277529.523347370	0	471	138	110	255	1209.05	-142.597	3388.24	581.798	1454.49	14.9174
1455277529.556872599	0	471	135	97	258	1167.96	-136.894	3388.24	598.909	1471.61	41.0841
1455277529.590379469	0	470	131	94	261	1164.25	-120.614	3411.76	626.043	1499.06	3.70898
1455277529.623895399	0	469	129	92	262	1152.43	-114.87	3411.76	637.53	1504.8	11.8198
1455277529.657418720	0	462	127	93	261	1111.06	-97.6397	3411.76	649.017	1499.06	41.3694
1455277529.690934889	0	458	125	94	262	1108.41	-93.1637	3458.82	669.614	1525.56	2.64929
1455277529.724452726	0	455	124	94	262	1090.44	-87.341	3458.82	675.437	1525.56	17.9744
1455277529.757968657	0	451	123	94	266	1073.73	-93.7975	3482.35	685.894	1559.38	16.7107
1455277529.791482918	0	449	123	99	271	1088.24	-106.948	3529.41	695.163	1610.16	14.5099
1455277529.825000755	0	447	123	159	288	1259.42	-160.422	3529.41	695.163	1711.17	171.184
1455277529.858516685	0	436	122	110	269	1045.44	-95.065	3529.41	701.104	1598.28	213.98
1455277529.892032616	0	426	122	113	265	997.023	-83.7364	3552.94	705.778	1585.01	48.4207
1455277529.925614349	0	428	122	130	259	1142.28	-70.5858	3811.76	757.193	1661.97	145.262
1455277529.959162704	0	410	123	115	255	916.689	-60.6039	3600	709.066	1545.4	225.596
1455277529.992678635	0	404	123	142	255	966.576	-60.6039	3600	709.066	1545.4	49.8878
1455277530.026162378	0	419	124	128	253	1029.75	-61.3961	3647.06	712.195	1553.32	63.1748
1455277530.059610836	0	401	125	145	254	972.812	-74.1507	3670.59	710.611	1569.52	56.9388
1455277530.093194239	0	401	125	144	253	985.284	-68.8429	3717.65	719.721	1583.39	12.4719
1455277530.126710169	0	400	125	147	260	985.284	-93.8767	3717.65	719.721	1627.2	0
1455277530.160226337	0	401	125	135	259	953.085	-87.6182	3717.65	719.721	1620.94	32.1989
1455277530.193457596	0	414	125	122	263	1010.8	-101.403	3764.71	728.832	1666.81	57.7133
1455277530.226973526	0	409	124	113	253	957.406	-64.1689	3811.76	744.359	1623.47	53.3929
